candidate,accuracy,macro_f1,f1_drop,int4_count,int8_count,weight_memory_kb,memory_ratio,bitops_ratio,hardware_cost,accepted,config
11,0.9909393737508327,0.9742526346421233,0.006799221757078255,5,21,8.259765625,0.9516201620162016,0.9166025666977046,0.9341113643569531,False,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 4, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 4, ""block2_b2_sepconv"": 8, ""block2_b3_sepconv"": 8, ""block2_pool_proj"": 8, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 8, ""block3_b2_sepconv"": 4, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 4, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 4, ""block4_b2_sepconv"": 8, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 8, ""block4_shortcut"": 8, ""block4_out_proj"": 8, ""head_dense"": 8, ""class_output"": 8}"
12,0.9599600266489008,0.8951661780127544,0.08588567838644712,8,18,7.068359375,0.8143564356435643,0.8525565766568155,0.83345650615019,False,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 8, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 4, ""block2_b2_sepconv"": 8, ""block2_b3_sepconv"": 4, ""block2_pool_proj"": 8, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 8, ""block3_b2_sepconv"": 4, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 4, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 4, ""block4_b2_sepconv"": 8, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 4, ""block4_shortcut"": 4, ""block4_out_proj"": 8, ""head_dense"": 4, ""class_output"": 8}"
13,0.988674217188541,0.9670694487053115,0.013982407693890031,7,19,7.818359375,0.9007650765076508,0.8676166956803368,0.8841908860939938,False,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 8, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 8, ""block2_b2_sepconv"": 8, ""block2_b3_sepconv"": 4, ""block2_pool_proj"": 4, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 8, ""block3_b2_sepconv"": 4, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 4, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 4, ""block4_b2_sepconv"": 4, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 4, ""block4_shortcut"": 8, ""block4_out_proj"": 8, ""head_dense"": 8, ""class_output"": 8}"
14,0.9823451032644903,0.948157168873298,0.03289468752590352,9,17,7.486328125,0.8625112511251125,0.823084085664548,0.8427976683948303,False,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 4, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 8, ""block2_b2_sepconv"": 8, ""block2_b3_sepconv"": 4, ""block2_pool_proj"": 4, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 4, ""block3_b2_sepconv"": 8, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 4, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 4, ""block4_b2_sepconv"": 4, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 4, ""block4_shortcut"": 4, ""block4_out_proj"": 8, ""head_dense"": 8, ""class_output"": 8}"
15,0.9758827448367755,0.9305236502808851,0.05052820611831643,6,20,7.40625,0.8532853285328533,0.8954698190356666,0.87437757378426,False,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 8, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 8, ""block2_b2_sepconv"": 4, ""block2_b3_sepconv"": 4, ""block2_pool_proj"": 4, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 8, ""block3_b2_sepconv"": 8, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 8, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 8, ""block4_b2_sepconv"": 8, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 4, ""block4_shortcut"": 4, ""block4_out_proj"": 8, ""head_dense"": 4, ""class_output"": 8}"
16,0.900599600266489,0.786789296917852,0.19426255948134952,13,13,6.7578125,0.7785778577857786,0.7852010040079349,0.7818894308968567,False,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 4, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 4, ""block2_b2_sepconv"": 4, ""block2_b3_sepconv"": 4, ""block2_pool_proj"": 4, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 4, ""block3_b2_sepconv"": 4, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 4, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 4, ""block4_b2_sepconv"": 4, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 8, ""block4_shortcut"": 4, ""block4_out_proj"": 8, ""head_dense"": 4, ""class_output"": 4}"
17,0.993471019320453,0.9816065145159802,-0.0005546581167786835,4,22,8.205078125,0.9453195319531953,0.9391218978988705,0.9422207149260329,True,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 8, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 8, ""block2_b2_sepconv"": 8, ""block2_b3_sepconv"": 8, ""block2_pool_proj"": 8, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 8, ""block3_b2_sepconv"": 4, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 4, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 8, ""block4_b2_sepconv"": 4, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 8, ""block4_shortcut"": 8, ""block4_out_proj"": 8, ""head_dense"": 8, ""class_output"": 4}"
18,0.9936708860759493,0.9801682491142077,0.0008836072849938148,2,24,8.45703125,0.9743474347434743,0.9828448240961905,0.9785961294198324,True,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 8, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 8, ""block2_b2_sepconv"": 8, ""block2_b3_sepconv"": 8, ""block2_pool_proj"": 8, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 8, ""block3_b2_sepconv"": 8, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 8, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 8, ""block4_b2_sepconv"": 8, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 4, ""block4_shortcut"": 8, ""block4_out_proj"": 8, ""head_dense"": 8, ""class_output"": 4}"
19,0.993471019320453,0.9805383204211114,0.0005135359780901183,2,24,8.521484375,0.9817731773177317,0.96720780535201,0.9744904913348709,True,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 8, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 8, ""block2_b2_sepconv"": 8, ""block2_b3_sepconv"": 8, ""block2_pool_proj"": 8, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 4, ""block3_b2_sepconv"": 8, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 4, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 8, ""block4_b2_sepconv"": 8, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 8, ""block4_shortcut"": 8, ""block4_out_proj"": 8, ""head_dense"": 8, ""class_output"": 8}"
20,0.9864090606262491,0.9661634131855628,0.014888443213638802,5,21,8.0625,0.9288928892889289,0.8850248977774179,0.9069588935331734,False,"{""stem_conv"": 8, ""block1_b1_sepconv"": 8, ""block1_b2_sepconv"": 8, ""block1_b3_sepconv"": 8, ""block1_pool_proj"": 8, ""block1_out_proj"": 8, ""block2_b1_sepconv"": 8, ""block2_b2_sepconv"": 4, ""block2_b3_sepconv"": 4, ""block2_pool_proj"": 8, ""block2_shortcut"": 8, ""block2_out_proj"": 8, ""block3_b1_sepconv"": 4, ""block3_b2_sepconv"": 4, ""block3_b3_sepconv"": 8, ""block3_pool_proj"": 8, ""block3_shortcut"": 8, ""block3_out_proj"": 8, ""block4_b1_sepconv"": 8, ""block4_b2_sepconv"": 8, ""block4_b3_sepconv"": 8, ""block4_pool_proj"": 8, ""block4_shortcut"": 4, ""block4_out_proj"": 8, ""head_dense"": 8, ""class_output"": 8}"
